city,year,pollutant,value,status,timestamp
Delhi,2020,Tropospheric NO2 column density,8.006897798586949e-05,success,2026-05-21 08:00:19.796177
Delhi,2021,Tropospheric NO2 column density,0.00011024193915688315,success,2026-05-21 08:00:19.796183
Delhi,2022,Tropospheric NO2 column density,0.00010187801311173948,success,2026-05-21 08:00:19.796184
Delhi,2023,Tropospheric NO2 column density,0.00010384626525709875,success,2026-05-21 08:00:19.796185
Delhi,2024,Tropospheric NO2 column density,9.87530187637836e-05,success,2026-05-21 08:00:19.796185
Mumbai,2020,Tropospheric NO2 column density,7.318092313935429e-05,success,2026-05-21 08:00:20.614087
Mumbai,2021,Tropospheric NO2 column density,8.206028829082437e-05,success,2026-05-21 08:00:20.614093
Mumbai,2022,Tropospheric NO2 column density,8.706294561761179e-05,success,2026-05-21 08:00:20.614094
Mumbai,2023,Tropospheric NO2 column density,8.959230830276456e-05,success,2026-05-21 08:00:20.614095
Mumbai,2024,Tropospheric NO2 column density,8.239581830717885e-05,success,2026-05-21 08:00:20.614096
Bangalore,2020,Tropospheric NO2 column density,3.816654881627327e-05,success,2026-05-21 08:00:21.455543
Bangalore,2021,Tropospheric NO2 column density,4.1660897429716895e-05,success,2026-05-21 08:00:21.455548
Bangalore,2022,Tropospheric NO2 column density,4.325255447658891e-05,success,2026-05-21 08:00:21.455549
Bangalore,2023,Tropospheric NO2 column density,4.658822736024217e-05,success,2026-05-21 08:00:21.455550
Bangalore,2024,Tropospheric NO2 column density,4.853121196566741e-05,success,2026-05-21 08:00:21.455550
Kolkata,2020,Tropospheric NO2 column density,5.8812994962526036e-05,success,2026-05-21 08:00:22.444397
Kolkata,2021,Tropospheric NO2 column density,7.443119903258019e-05,success,2026-05-21 08:00:22.444401
Kolkata,2022,Tropospheric NO2 column density,7.172794305574679e-05,success,2026-05-21 08:00:22.444402
Kolkata,2023,Tropospheric NO2 column density,7.464931307915786e-05,success,2026-05-21 08:00:22.444403
Kolkata,2024,Tropospheric NO2 column density,6.754592550280527e-05,success,2026-05-21 08:00:22.444404
Chennai,2020,Tropospheric NO2 column density,3.472119009267548e-05,success,2026-05-21 08:00:23.308455
Chennai,2021,Tropospheric NO2 column density,4.5462211346337864e-05,success,2026-05-21 08:00:23.308459
Chennai,2022,Tropospheric NO2 column density,4.8474378566712426e-05,success,2026-05-21 08:00:23.308460
Chennai,2023,Tropospheric NO2 column density,5.0868948540849613e-05,success,2026-05-21 08:00:23.308461
Chennai,2024,Tropospheric NO2 column density,4.046127541905016e-05,success,2026-05-21 08:00:23.308461
