city,pollutant,n_points,slope,slope_ci_lower,slope_ci_upper,intercept,r_squared,p_value,std_err,trend_class,years,values
Ahmedabad,AER,5,0.2921829816723522,-0.10557844603125884,0.657399266335401,-591.1412261093254,0.6816134641648428,0.08510542490429633,0.11529289802477499,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.15688082 -0.69926505  0.15791772  0.01528149 -0.05323918]
Ahmedabad,CH4,5,8.528349244521223,6.693138172533736,10.707888194064948,-15320.937314554234,0.9626189111593492,0.0031024789127560297,0.9702935144166266,Worsening (significant),[2020. 2021. 2022. 2023. 2024.],[1908.74800619 1912.85376111 1923.09217872 1928.82742071 1943.40292261]
Ahmedabad,NO2,5,2.6607734617117937e-06,-2.0870333028491768e-06,8.55281874172685e-06,-0.005313927378392062,0.339592447954528,0.3024721996114508,2.1422703480702133e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[5.35221437e-05 6.98773811e-05 7.06277812e-05 6.99815967e-05
 6.67739032e-05]"
Ahmedabad,SO2,5,7.245595626847825e-06,-5.8702718499267805e-06,1.8561086676107024e-05,-0.014477565233732689,0.26534732129213384,0.3744165687568932,6.960607491845659e-06,Stable,[2020. 2021. 2022. 2023. 2024.],[0.00013925 0.00019367 0.00016442 0.00019099 0.00017682]
Bangalore,AER,5,0.2433238493632251,-0.0400554464832638,0.4774519024462691,-492.8070436127413,0.7453667835009234,0.05938235676471453,0.08211009630906133,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.41568347 -1.14837661 -0.46077966 -0.46601748 -0.54024379]
Bangalore,CH4,5,10.494200770386602,6.673262664254935,13.686297505474222,-19305.74741075325,0.952216551412245,0.004498302388431997,1.3572492905088858,Worsening (significant),[2020. 2021. 2022. 2023. 2024.],[1890.94556405 1901.60028016 1916.60317855 1928.53400821 1929.94970388]
Bangalore,NO2,5,2.5656656229313554e-06,2.269562263009638e-06,2.8072261813229656e-06,-0.005144136001557503,0.9877670006709504,0.000576354490794863,1.6484608873067264e-07,Changing (weak signal),[2020. 2021. 2022. 2023. 2024.],"[3.81665488e-05 4.16608974e-05 4.32525545e-05 4.65882274e-05
 4.85312120e-05]"
Bangalore,SO2,5,2.200624808556124e-06,-3.701374245139481e-06,9.597227865991488e-06,-0.0044199953566678345,0.22015370561121503,0.425297280844253,2.391260465531e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[1.72962970e-05 3.35210719e-05 3.64907527e-05 3.19439055e-05
 2.90880042e-05]"
Chennai,AER,5,0.2627792458099103,-0.07305555340903502,0.5696463670331743,-532.1303048016366,0.7109461338978507,0.07277166887165556,0.09673897405962767,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.51137624 -1.09406346 -0.37208351 -0.46262785 -0.51319781]
Chennai,CH4,5,4.187541370717963,-6.628702207499241,14.72436742434934,-6557.3263541483375,0.33931384776293394,0.302719613137439,3.373613247602781,Stable,[2020. 2021. 2022. 2023. 2024.],[1891.89699669 1909.6637998  1921.34573153 1917.67671153 1908.82824767]
Chennai,NO2,5,1.6886907847261106e-06,-4.920997509255179e-06,7.428655239396173e-06,-0.0033705351659230704,0.16978364761942522,0.4906129253461369,2.155942718374648e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[3.47211901e-05 4.54622113e-05 4.84743786e-05 5.08689485e-05
 4.04612754e-05]"
Chennai,SO2,5,-1.3824214850679954e-06,-3.273352105218015e-05,2.68580364938413e-05,0.0029058543792422876,0.006684048609798466,0.8960210675017404,9.7297963987707e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[8.68168291e-05 1.22973454e-04 1.37876163e-04 1.27865575e-04
 7.74586612e-05]"
