City,Year,Pollutant,Value,Valid,Is_Outlier
Delhi,2020,NO2,8.006897798586949e-05,True,False
Delhi,2021,NO2,0.00011024193915688315,True,False
Delhi,2022,NO2,0.00010187801311173948,True,False
Delhi,2023,NO2,0.00010384626525709875,True,False
Delhi,2024,NO2,9.87530187637836e-05,True,False
Mumbai,2020,NO2,7.318092313935429e-05,True,False
Mumbai,2021,NO2,8.206028829082437e-05,True,False
Mumbai,2022,NO2,8.706294561761179e-05,True,False
Mumbai,2023,NO2,8.959230830276456e-05,True,False
Mumbai,2024,NO2,8.239581830717885e-05,True,False
Bangalore,2020,NO2,3.816654881627327e-05,True,False
Bangalore,2021,NO2,4.1660897429716895e-05,True,False
Bangalore,2022,NO2,4.325255447658891e-05,True,False
Bangalore,2023,NO2,4.658822736024217e-05,True,False
Bangalore,2024,NO2,4.853121196566741e-05,True,False
Kolkata,2020,NO2,5.8812994962526036e-05,True,False
Kolkata,2021,NO2,7.443119903258019e-05,True,False
Kolkata,2022,NO2,7.172794305574679e-05,True,False
Kolkata,2023,NO2,7.464931307915786e-05,True,False
Kolkata,2024,NO2,6.754592550280527e-05,True,False
Chennai,2020,NO2,3.472119009267548e-05,True,False
Chennai,2021,NO2,4.5462211346337864e-05,True,False
Chennai,2022,NO2,4.8474378566712426e-05,True,False
Chennai,2023,NO2,5.0868948540849613e-05,True,False
Chennai,2024,NO2,4.046127541905016e-05,True,False
Hyderabad,2020,NO2,4.250700617943354e-05,True,False
Hyderabad,2021,NO2,4.920187994001557e-05,True,False
Hyderabad,2022,NO2,5.238430786322954e-05,True,False
Hyderabad,2023,NO2,5.218993925191435e-05,True,False
Hyderabad,2024,NO2,4.998689089780479e-05,True,False
Ahmedabad,2020,NO2,5.35221437311615e-05,True,False
Ahmedabad,2021,NO2,6.987738107436618e-05,True,False
Ahmedabad,2022,NO2,7.06277812146152e-05,True,False
Ahmedabad,2023,NO2,6.998159669775576e-05,True,False
Ahmedabad,2024,NO2,6.677390322802568e-05,True,False
Pune,2020,NO2,4.1728109686709284e-05,True,False
Pune,2021,NO2,4.8550679588921454e-05,True,False
Pune,2022,NO2,4.975758820209204e-05,True,False
Pune,2023,NO2,5.025572351583722e-05,True,False
Pune,2024,NO2,5.172278938901193e-05,True,False
Delhi,2020,AER,-0.9743187603478597,True,False
Delhi,2021,AER,-0.3985564046550918,True,False
Delhi,2022,AER,0.33050688841588793,True,False
Delhi,2023,AER,0.08521669319537328,True,False
Delhi,2024,AER,0.0825171169444564,True,False
Mumbai,2020,AER,-1.2948344789503472,True,False
Mumbai,2021,AER,-0.8821785073960036,True,False
Mumbai,2022,AER,-0.09431813251762572,True,False
Mumbai,2023,AER,-0.19294691740310288,True,False
Mumbai,2024,AER,-0.2890328275431939,True,False
Bangalore,2020,AER,-1.4156834658809891,True,False
Bangalore,2021,AER,-1.1483766116558227,True,False
Bangalore,2022,AER,-0.4607796609884509,True,False
Bangalore,2023,AER,-0.4660174761656034,True,False
Bangalore,2024,AER,-0.5402437868099735,True,False
Kolkata,2020,AER,-1.3043674553717977,True,False
Kolkata,2021,AER,-0.8774377907541775,True,False
Kolkata,2022,AER,-0.14512577977257105,True,False
Kolkata,2023,AER,-0.3121350204359705,True,False
Kolkata,2024,AER,-0.38485654040796663,True,False
Chennai,2020,AER,-1.5113762395904577,True,False
Chennai,2021,AER,-1.094063459184725,True,False
Chennai,2022,AER,-0.3720835055241093,True,False
Chennai,2023,AER,-0.4626278511142246,True,False
Chennai,2024,AER,-0.5131978145761564,True,False
Hyderabad,2020,AER,-1.3588028529794742,True,False
Hyderabad,2021,AER,-1.0258419535188013,True,False
Hyderabad,2022,AER,-0.2435823692978429,True,False
Hyderabad,2023,AER,-0.3428203493550503,True,False
Hyderabad,2024,AER,-0.45779538448126006,True,False
Ahmedabad,2020,AER,-1.1568808175284249,True,False
Ahmedabad,2021,AER,-0.699265047673814,True,False
Ahmedabad,2022,AER,0.15791771514237704,True,False
Ahmedabad,2023,AER,0.015281487833138624,True,False
Ahmedabad,2024,AER,-0.05323917692014058,True,False
Pune,2020,AER,-1.351413325272598,True,False
Pune,2021,AER,-1.006131244438116,True,False
Pune,2022,AER,-0.20366697244303314,True,False
Pune,2023,AER,-0.3110577435655169,True,False
Pune,2024,AER,-0.3817662836245953,True,False
Delhi,2020,CH4,1910.5180417938873,True,False
Delhi,2021,CH4,1917.3609245536923,True,False
Delhi,2022,CH4,1921.6297929796199,True,False
Delhi,2023,CH4,1929.5975947695788,True,False
Delhi,2024,CH4,1950.6708565540687,True,False
Mumbai,2020,CH4,1901.8032961647646,True,False
Mumbai,2021,CH4,1928.7209497289007,True,False
Mumbai,2022,CH4,1909.3657261624953,True,False
Mumbai,2023,CH4,1918.9524898089974,True,False
Mumbai,2024,CH4,1931.001459486678,True,False
Bangalore,2020,CH4,1890.945564049229,True,False
Bangalore,2021,CH4,1901.6002801596183,True,False
Bangalore,2022,CH4,1916.603178547595,True,False
Bangalore,2023,CH4,1928.5340082097325,True,False
Bangalore,2024,CH4,1929.9497038761049,True,False
Kolkata,2020,CH4,1904.6582513153255,True,False
Kolkata,2021,CH4,1935.7487367343501,True,False
Kolkata,2022,CH4,1931.7625854103,True,False
Kolkata,2023,CH4,1937.8480148239498,True,False
Kolkata,2024,CH4,1942.6108850260127,True,False
Chennai,2020,CH4,1891.8969966850875,True,False
Chennai,2021,CH4,1909.6637997954888,True,False
Chennai,2022,CH4,1921.3457315337862,True,False
Chennai,2023,CH4,1917.6767115322743,True,False
Chennai,2024,CH4,1908.8282476702846,True,False
Hyderabad,2020,CH4,1910.0637926106945,True,False
Hyderabad,2021,CH4,1918.7545293552907,True,False
Hyderabad,2022,CH4,1931.501223615836,True,False
Hyderabad,2023,CH4,1938.8121095053907,True,False
Hyderabad,2024,CH4,1945.5926056840203,True,False
Ahmedabad,2020,CH4,1908.7480061909537,True,False
Ahmedabad,2021,CH4,1912.853761109726,True,False
Ahmedabad,2022,CH4,1923.0921787150228,True,False
Ahmedabad,2023,CH4,1928.8274207085549,True,False
Ahmedabad,2024,CH4,1943.4029226141454,True,False
Pune,2020,CH4,1891.1637149262158,True,False
Pune,2021,CH4,1906.0324743860106,True,False
Pune,2022,CH4,1920.1542915291332,True,False
Pune,2023,CH4,1922.3177482048325,True,False
Pune,2024,CH4,1931.361570735401,True,False
Delhi,2020,SO2,0.00017489253094694297,True,False
Delhi,2021,SO2,0.00016856535709904594,True,False
Delhi,2022,SO2,0.00018914908642675107,True,False
Delhi,2023,SO2,0.00017914744775490796,True,False
Delhi,2024,SO2,0.00017770028416643976,True,False
Mumbai,2020,SO2,0.0001405726861167118,True,False
Mumbai,2021,SO2,0.0001478256245579037,True,False
Mumbai,2022,SO2,0.00016860638357387085,True,False
Mumbai,2023,SO2,0.00015624068013126233,True,False
Mumbai,2024,SO2,0.00015738742596949645,True,False
Bangalore,2020,SO2,1.7296296959505416e-05,True,False
Bangalore,2021,SO2,3.352107185444235e-05,True,False
Bangalore,2022,SO2,3.649075269148839e-05,True,False
Bangalore,2023,SO2,3.194390545659556e-05,True,False
Bangalore,2024,SO2,2.9088004201209432e-05,True,False
Kolkata,2020,SO2,0.00017438386632947063,True,False
Kolkata,2021,SO2,0.00024340746292446624,True,False
Kolkata,2022,SO2,0.00021623506295485452,True,False
Kolkata,2023,SO2,0.0002543264605367657,True,False
Kolkata,2024,SO2,0.0002570941657671974,True,False
Chennai,2020,SO2,8.68168291168884e-05,True,False
Chennai,2021,SO2,0.00012297345419316817,True,False
Chennai,2022,SO2,0.0001378761625095886,True,False
Chennai,2023,SO2,0.0001278655751324546,True,False
Chennai,2024,SO2,7.745866122190521e-05,True,False
Hyderabad,2020,SO2,7.056170027168793e-05,True,False
Hyderabad,2021,SO2,9.538136043278212e-05,True,False
Hyderabad,2022,SO2,0.0001206835394379219,True,False
Hyderabad,2023,SO2,0.00012221313827164785,True,False
Hyderabad,2024,SO2,9.193597837195145e-05,True,False
